Volume	HaloGRP@z0	HaloGRP@Mpeak	Snapshot@Mpeak	Mpeak	Mhalo@z0	Mstar@z0	Mstar,photometric@z0	Mstar@Mpeak	Mstar,photometric@Mpeak	VbandMag	HaloType	Vmax@Mpeak
cptmarvel	1	1	4096	15525479000.0	15525479000.0	54383789.0	21753515.6	54383789.0	21753515.6	-13.813363367842307	Central	43.34000
cptmarvel	2	2	3584	10303753000.0	9881821200.0	14920986.0	5968394.4	13024446.0	5209778.4	-12.972513669050834	Central	38.13000
cptmarvel	3	3	3968	8926753800.0	8747382800.0	8509788.9	3403915.5600000005	8197061.000000001	3278824.4000000004	-12.473496482713758	Central	34.39000
cptmarvel	5	5	4096	7501794300.0	7501794300.0	12061918.0	4824767.2	12061918.0	4824767.2	-12.058301000498608	Central	33.70000
cptmarvel	6	6	4096	6583698400.0	6583698400.0	11474861.999999998	4589944.8	11474861.999999998	4589944.8	-11.932887738464261	Central	30.44000
cptmarvel	7	7	3072	5431301100.0	5100876800.0	1141684.4	456673.76	739716.7799999999	295886.712	-10.361954942239905	Central	29.32000
cptmarvel	10	10	3712	3532150500.0	3484178200.0	3097382.7999999993	1238953.1199999999	3097453.5	1238981.4000000001	-10.14934090881062	Central	27.54000
cptmarvel	11	11	3636	3371164400.0	2247479300.0	510081.09	204032.43600000002	510091.30000000005	204036.52000000002	-8.1998048950247	Central	24.46000
cptmarvel	13	13	4096	1804041100.0	1804041100.0	304340.64	121736.25600000001	304340.64	121736.25600000001	-7.679313983635244	Central	21.57000
cptmarvel	14	14	3328	1623753500.0	1558588900.0	6006.096599999999	2402.43864	6006.3322	2402.53288	-3.3518989760042226	Central	20.81000
cptmarvel	24	24	4096	387608190.0	387608190.0	3656.0141	1462.40564	3656.0141	1462.40564	-2.8055376307585798	Central	14.62000
cptmarvel	1196	31	0640	187461650.0	5206000.0	3916.3922000000002	1566.55688	6415.5025	2566.201	-2.8981439842149728	Satellite	14.56000
rogue	1	1	4032	83553698000.0	83249586000.0	1643094000.0	657237600.0	1611760700.0	644704280.0	-17.841686968536305	Central	84.07000
rogue	3	3	3648	21541644000.0	21234657000.0	116003830.0	46401532.0	108582710.0	43433084.0	-14.941367873924747	Central	49.62000
rogue	7	7	3744	14823150000.0	14720821000.0	39046245.0	15618498.0	37035822.0	14814328.8	-13.68169320311373	Central	41.54000
rogue	8	8	4096	13045275000.0	13045275000.0	85148243.0	34059297.2	85148243.0	34059297.2	-14.248099918159552	Central	41.65000
rogue	10	10	4096	11256137000.0	11256137000.0	23257026.0	9302810.4	23257026.0	9302810.4	-12.741819356684276	Central	39.54000
rogue	11	11	4096	8092136400.0	8092136400.0	7785511.1	3114204.44	7785511.1	3114204.44	-12.204558854465928	Central	35.80000
rogue	12	11	3456	8363369500.0	7610808300.0	13936019.0	5574407.600000001	13178503.0	5271401.2	-12.316950349172181	Central	35.83000
rogue	15	15	4096	3808383500.0	3808383500.0	1782788.2	713115.28	1782788.2	713115.28	-10.1231024468391	Central	28.54000
rogue	16	16	3168	3508671000.0	3498958800.0	338060.5	135224.2	281213.35	112485.34	-8.551879036250394	Central	26.95000
rogue	17	17	4096	3345876700.0	3345876700.0	219082.11	87632.844	219082.11	87632.844	-8.138395844104627	Central	25.87000
rogue	28	25	3552	1654493100.0	1639986300.0	1507895.2999999998	603158.12	1507946.1	603178.4400000001	-9.393876742771738	Central	23.93000
rogue	31	31	4096	1556849300.0	1556849300.0	426247.7	170499.08000000002	426247.7	170499.08000000002	-7.997280499010576	Central	20.98000
rogue	37	18	3168	3191493100.0	1095182200.0	1671892.2	668756.88	1445755.9	578302.36	-9.994463192062696	Satellite	27.08000
rogue	58	58	4032	602795840.0	602449280.0	7052.350900000001	2820.9403600000005	7052.3688	2820.94752	-3.542545936194469	Central	16.85000
rogue	116	99	3072	358823260.0	307815040.0	13319.94	5327.976000000001	13320.62	5328.2480000000005	-4.235126716606437	Central	15.47000
elektra	1	1	3936	42853151000.0	41767805000.0	248056060.0	99222424.0	236651400.0	94660560.0	-16.0030194864111	Central	61.05000
elektra	2	2	4096	28983699000.0	28983699000.0	73122327.0	29248930.8	73122327.0	29248930.8	-15.043714485006081	Central	50.54000
elektra	3	3	4096	24510411000.0	24510411000.0	42372441.0	16948976.400000002	42372441.0	16948976.400000002	-14.209711363151627	Central	47.46000
elektra	4	3	3168	22013286000.0	19148356000.0	60735279.0	24294111.6	53788359.0	21515343.6	-13.804768550959068	Central	44.86000
elektra	5	5	4096	15330410000.0	15330410000.0	39135649.0	15654259.600000001	39135649.0	15654259.600000001	-13.85606354342672	Central	41.60000
elektra	8	8	4096	4617739300.0	4617739300.0	11740.965	4696.386	11740.965	4696.386	-7.770696357083157	Central	28.55000
elektra	9	7	3456	6329520600.0	3803328800.0	3861779.4	1544711.76	2548378.9	1019351.56	-12.171344695013183	Satellite	30.66000
elektra	10	10	4096	4106342400.0	4106342400.0	1174943.0	469977.2	1174943.0	469977.2	-10.03694504868805	Central	28.06000
elektra	11	11	4096	3670616300.0	3670616300.0	48849.152	19539.6608	48849.152	19539.6608	-8.062632644600626	Central	26.28000
elektra	12	10	3168	3822232800.0	3344000000.0	106060.58	42424.232	0.0	0.0	-8.717095714670052	Central	25.91000
elektra	17	17	4096	2351383600.0	2351383600.0	79673.172	31869.268800000005	79673.172	31869.268800000005	-6.218602097967489	Central	23.04000
elektra	36	40	2976	800639740.0	789682110.0	58213.105	23285.242000000002	58216.615	23286.646	-5.828798223220312	Central	19.50000
elektra	64	62	3456	399417820.0	374886300.0	16449.869	6579.9475999999995	16450.338	6580.135200000001	-4.461468142436862	Central	16.07000
elektra	224	77	1248	328871230.0	116577660.0	7048.491300000001	2819.3965200000002	7190.918	2876.3672	-3.5315513985178364	Satellite	15.68000
storm	1	1	4096	76214108000.0	76214108000.0	786872050.0	314748820.0	786872050.0	314748820.0	-17.62681845148292	Central	74.41000
storm	2	2	2688	42191917000.0	35184931000.0	157753390.0	63101356.0	89404987.0	35761994.800000004	-15.595222083881772	Central	58.68000
storm	3	3	4096	24300820000.0	24300820000.0	39019220.0	15607688.0	39019220.0	15607688.0	-14.266769502749908	Central	50.18000
storm	4	4	2592	18316712000.0	16808081000.0	60126198.00000001	24050479.200000003	43893375.0	17557350.0	-14.137482634807913	Central	45.90000
storm	5	5	4032	9630629900.0	9624478700.0	13244059.0	5297623.600000001	13151457.000000002	5260582.800000001	-12.487119245832721	Central	35.84000
storm	6	5	3456	9222081500.0	8426013200.0	5550684.2	2220273.68	4018267.5	1607307.0	-12.28029950968062	Central	32.88000
storm	7	7	4096	8023342100.0	8023342100.0	16323062.000000002	6529224.800000001	16323062.000000002	6529224.800000001	-12.20742947381422	Central	35.81000
storm	8	7	3936	8269534200.0	7951506400.0	17372179.0	6948871.600000001	17125656.0	6850262.4	-12.779491444787654	Central	35.17000
storm	10	9	3456	7108054500.0	6976547800.0	588793.54	235517.41600000003	173585.60999999996	69434.24399999999	-10.54602674569817	Central	32.86000
storm	11	11	4096	5705739300.0	5705739300.0	922074.76	368829.90400000004	922074.76	368829.90400000004	-10.678639345791687	Central	30.35000
storm	12	12	4096	5652397100.0	5652397100.0	2667205.0	1066882.0	2667205.0	1066882.0	-10.87465775572019	Central	31.58000
storm	14	14	4096	3660588800.0	3660588800.0	1471025.4	588410.16	1471025.4	588410.16	-9.544216816345129	Central	26.92000
storm	15	15	4096	3080616200.0	3080616200.0	509288.5800000001	203715.43200000003	509288.5800000001	203715.43200000003	-8.288173211359812	Central	27.50000
storm	22	22	4096	1980342500.0	1980342500.0	20628.237	8251.294800000001	20628.237	8251.294800000001	-4.697627734607677	Central	22.41000
storm	23	23	4096	1839013600.0	1839013600.0	383719.79	153487.916	383719.79	153487.916	-7.909853092773863	Central	22.54000
storm	31	14	1536	3661315100.0	994991740.0	5029043.6	2011617.44	3113246.8	1245298.72	-11.302977079321145	Satellite	31.30000
storm	37	31	3360	1418328700.0	1134935600.0	15665.003	6266.001200000001	15665.555	6266.222000000001	-4.406169588800914	Satellite	20.28000
storm	44	44	4096	909928770.0	909928770.0	141780.14	56712.05600000001	141780.14	56712.05600000001	-6.803457936450962	Central	19.88000
storm	48	48	4096	856742460.0	856742460.0	17490.268	6996.1072	17490.268	6996.1072	-4.520833042289464	Central	17.50000
storm	55	48	3264	896227390.0	668347970.0	23495.889	9398.3556	23496.886	9398.7544	-4.835285215033839	Satellite	18.54000
storm	103	21	1248	1683383600.0	289179420.0	553367.08	221346.832	586693.57	234677.42799999999	-8.31468105545018	Satellite	24.65000
storm	118	48	1344	794502720.0	261305460.0	16186.188000000002	6474.475200000001	16439.883	6575.953200000001	-4.430102283745397	Central	20.39000
storm	119	41	2304	1116654800.0	238675330.0	750987.36	300394.944	0.0	0.0	-8.635514574515465	Satellite	22.78000
storm	182	110	2592	307438340.0	147526020.0	48813.259	19525.3036	48817.68699999999	19527.0748	-5.641300064406876	Central	15.33000
storm	187	138	2400	234519180.0	137731500.0	26373.506	10549.4024	26376.46	10550.584	-4.9720948429381675	Central	14.88000
storm	191	59	1824	689442430.0	131586710.0	115910.11	46364.044	116057.55	46423.020000000004	-6.570849803940111	Satellite	19.27000
storm	5262	146	480	115362320.0	3145726.0	1826.7407000000003	730.6962800000001	0.0	0.0	-2.0430470255264743	Satellite	13.99000
h148	2	3	3264	124097990000.0	89146384000.0	2037527900.0	815011160.0	1355830600.0	542332240.0	-18.453252394648967	Satellite	84.58000
h148	3	3	2592	65660031000.0	42351337000.0	1420757500.0	568303000.0	1033931200.0	413572480.0	-17.357254425360686	Satellite	82.79000
h148	4	6	2555	36409770000.0	29944814000.0	320502830.0	128201132.0	260464910.0	104185964.0	-15.808000341375305	Satellite	66.65000
h148	5	4	3072	38218535000.0	27648813000.0	232715090.0	93086036.0	202601440.0	81040576.0	-15.477117006208372	Backsplash	66.34000
h148	6	8	2400	26885347000.0	15816290000.0	193408570.0	77363428.0	190481660.0	76192664.0	-14.659223505389827	Backsplash	60.55000
h148	7	9	2400	20903793000.0	11837702000.0	95433479.0	38173391.6	52751414.0	21100565.6	-14.910768757639815	Satellite	60.14000
h148	9	9	3840	12093626000.0	11753048000.0	23430488.0	9372195.200000001	22854908.0	9141963.200000001	-12.908218827958692	Backsplash	39.57000
h148	11	10	2304	15765974000.0	8685893600.0	103137850.0	41255140.0	101271290.0	40508516.0	-13.948873347179031	Satellite	53.27000
h148	12	13	2688	9530175500.0	8747292700.0	9636112.9	3854445.16	5926950.3	2370780.12	-12.605021023975704	Backsplash	39.37000
h148	13	15	3072	7031474200.0	6067183100.0	5179013.8	2071605.52	3362955.0	1345182.0	-12.016904306149897	Backsplash	34.82000
h148	16	11	1740	11419715000.0	3435989500.0	73857439.0	29542975.6	48013914.0	19205565.6	-13.842340651528826	Backsplash	47.81000
h148	17	17	1408	9310211100.0	2958742800.0	44164345.0	17665738.0	24524842.0	9809936.8	-13.488426036601792	Satellite	43.13000
h148	19	19	3360	4355526100.0	3853416200.0	4912394.9	1964957.9600000002	4174379.1	1669751.6400000001	-11.555287564882734	Satellite	32.82000
h148	23	25	2784	3676774400.0	3289346300.0	547810.46	219124.184	549548.6	219819.44	-8.309436160044214	Central	27.75000
h148	24	25	3810	3217397200.0	3204456400.0	61856.026	24742.4104	59925.674	23970.2696	-6.259741015924068	Backsplash	26.83000
h148	25	20	2784	4576080900.0	2954050600.0	4426421.3	1770568.52	4367036.6	1746814.64	-10.602294811198389	Backsplash	32.37000
h148	26	24	2048	4484890100.0	2528832800.0	5093971.5	2037588.6	2999965.8	1199986.32	-11.354617759881753	Central	33.51000
h148	29	29	4096	2659421700.0	2659421700.0	65151.5	26060.600000000002	65151.5	26060.600000000002	-5.995138263880526	Backsplash	24.92000
h148	30	15	1106	8833171500.0	603964930.0	72943839.0	29177535.6	67862479.0	27144991.6	-13.608156688151869	Satellite	49.04000
h148	32	18	1476	6786926100.0	1299696000.0	37749552.0	15099820.8	34848331.0	13939332.4	-12.930588958156527	Satellite	44.98000
h148	34	18	2088	5849816100.0	1838704500.0	13323350.0	5329340.0	12461138.0	4984455.2	-11.882358705110132	Satellite	36.69000
h148	35	41	2304	2188800500.0	2143308200.0	73129.911	29251.964399999997	73167.442	29266.9768	-6.098025986876713	Backsplash	24.69000
h148	36	26	2784	3453194500.0	1892504200.0	415788.81	166315.524	33811.592	13524.6368	-9.141910675602722	Backsplash	28.13000
h148	39	44	1920	2210211100.0	1793920800.0	24577.394000000004	9830.957600000002	24589.81	9835.924	-4.8915071855130865	Satellite	23.36000
h148	44	34	2555	2408824100.0	1507894400.0	1214005.3	485602.12000000005	1219055.3	487622.12000000005	-9.184982141395365	Backsplash	28.45000
h148	46	46	4032	1506979600.0	1506286000.0	84827.79299999999	33931.1172	84828.03499999999	33931.214	-6.241585878640289	Backsplash	21.85000
h148	49	21	2088	5038689800.0	1243014700.0	3793256.0	1517302.4000000001	995004.5500000002	398001.82000000007	-11.193127330517731	Satellite	33.19000
h148	50	47	2880	1812586800.0	1191176100.0	17821.457	7128.5828	17822.691	7129.0764	-4.544063240066652	Backsplash	22.10000
h148	51	41	2976	2091161300.0	1176933800.0	79293.05	31717.22	79298.377	31719.3508	-6.158130315644199	Backsplash	23.26000
h148	59	58	2304	1358434400.0	888812220.0	3216601.3	1286640.52	3219523.7	1287809.4800000002	-10.20994124718855	Central	23.26000
h148	64	23	1740	4863391200.0	338663140.0	18291241.0	7316496.4	18034685.0	7213874.0	-12.131175739471667	Satellite	38.60000
h148	71	47	1920	2028434400.0	703469120.0	1008215.1000000001	403286.04000000004	941484.37	376593.748	-8.983548120566152	Backsplash	26.95000
h148	72	27	2208	3193404200.0	661640830.0	2182894.7	873157.8800000001	1432224.6	572889.8400000001	-10.12853151303762	Satellite	27.94000
h148	73	75	1280	1370956300.0	702077630.0	313518.96	125407.58400000002	322026.31	128810.524	-7.6589452408904695	Backsplash	24.57000
h148	85	76	1664	1212139600.0	541072770.0	217588.71	87035.484	220953.62	88381.448	-7.279944605040253	Central	20.35000
h148	86	28	2496	2941065500.0	510683170.0	868618.0	347447.2	576391.7	230556.68	-9.30105675419782	Backsplash	26.55000
h148	133	46	1664	2027844100.0	300876510.0	320271.66	128108.66399999999	324681.95	129872.78000000001	-7.683594055607293	Satellite	24.22000
h148	170	31	2048	3182558700.0	159120560.0	2164486.1	865794.4400000001	2914616.9	1165846.76	-9.893070150143235	Satellite	29.94000
h148	181	67	1740	1206218100.0	184388380.0	824421.9500000001	329768.78	837413.54	334965.416	-8.71169173533904	Satellite	23.59000
h148	195	117	1152	766681470.0	177073940.0	591422.83	236569.13199999998	618355.33	247342.13199999998	-8.345134179896284	Satellite	20.92000
h148	200	89	1536	1065458200.0	182499630.0	9827.828	3931.1312	10064.606	4025.8424	-3.952858512180013	Backsplash	22.45000
h148	250	167	1024	533963420.0	143954260.0	282757.99	113103.196	292478.62	116991.448	-7.541704236179823	Satellite	21.07000
h148	262	137	1536	565666240.0	143019630.0	45477.182	18190.8728	45845.815	18338.326	-5.562997485480274	Satellite	17.76000
h148	289	50	2496	1696930800.0	123247600.0	138921.22	55568.488000000005	142016.58	56806.632	-6.778255345440397	Backsplash	23.72000
h148	319	95	1664	953209410.0	113744430.0	94633.353	37853.3412	96945.724	38778.289600000004	-6.362373738008742	Backsplash	20.73000
h148	348	227	1408	327062140.0	106951300.0	6758.6724	2703.46896	6821.645100000001	2728.6580400000003	-3.4995695257998083	Satellite	16.83000
